,CPI,CPI_YoY
1995-04-01,151.8,3.125000000000022
1995-05-01,152.1,3.1186440677966054
1995-06-01,152.4,3.0425963488843744
1995-07-01,152.6,2.8301886792452713
1995-08-01,152.9,2.6174496644295386
1995-09-01,153.1,2.54521098459477
1995-10-01,153.5,2.7443105756358666
1995-11-01,153.7,2.603471295060067
1995-12-01,153.9,2.5316455696202667
1996-01-01,154.7,2.7906976744185963
1996-02-01,155.0,2.717031146454607
1996-03-01,155.5,2.8439153439153486
1996-04-01,156.1,2.832674571805005
1996-05-01,156.4,2.827087442472065
1996-06-01,156.7,2.8215223097112663
1996-07-01,157.0,2.8833551769331667
1996-08-01,157.2,2.8122956180510084
1996-09-01,157.7,3.0045721750489918
1996-10-01,158.2,3.0618892508143203
1996-11-01,158.7,3.2530904359141077
1996-12-01,159.1,3.378817413905133
1997-01-01,159.4,3.0381383322559907
1997-02-01,159.7,3.0322580645161246
1997-03-01,159.8,2.7652733118971096
1997-04-01,159.9,2.434336963484962
1997-05-01,159.9,2.237851662404089
1997-06-01,160.2,2.233567326100827
1997-07-01,160.4,2.165605095541401
1997-08-01,160.8,2.2900763358778775
1997-09-01,161.2,2.21940393151554
1997-10-01,161.5,2.0859671302149163
1997-11-01,161.7,1.8903591682419618
1997-12-01,161.8,1.6970458830924073
1998-01-01,162.0,1.6311166875784044
1998-02-01,162.0,1.440200375704448
1998-03-01,162.0,1.3767209011263937
1998-04-01,162.2,1.4383989993745905
1998-05-01,162.6,1.6885553470919357
1998-06-01,162.8,1.6229712858926382
1998-07-01,163.2,1.74563591022443
1998-08-01,163.4,1.6169154228855787
1998-09-01,163.5,1.4267990074441794
1998-10-01,163.9,1.4860681114551078
1998-11-01,164.1,1.4842300556586308
1998-12-01,164.4,1.606922126081578
1999-01-01,164.7,1.6666666666666607
1999-02-01,164.7,1.6666666666666607
1999-03-01,164.8,1.7283950617283939
1999-04-01,165.9,2.281134401972884
1999-05-01,166.0,2.091020910209096
1999-06-01,166.0,1.9656019656019597
1999-07-01,166.7,2.1446078431372584
1999-08-01,167.1,2.2643818849449104
1999-09-01,167.8,2.629969418960254
1999-10-01,168.1,2.56253813300793
1999-11-01,168.4,2.6203534430225606
1999-12-01,168.8,2.676399026763998
2000-01-01,169.3,2.792956891317555
2000-02-01,170.0,3.2179720704310855
2000-03-01,171.0,3.762135922330101
2000-04-01,170.9,3.013863773357439
2000-05-01,171.2,3.1325301204819134
2000-06-01,172.2,3.7349397590361377
2000-07-01,172.7,3.5992801439711952
2000-08-01,172.7,3.3512866546977715
2000-09-01,173.6,3.45649582836709
2000-10-01,173.9,3.4503271861986873
2000-11-01,174.2,3.444180522565321
2000-12-01,174.6,3.4360189573459543
2001-01-01,175.6,3.7212049616065945
2001-02-01,176.0,3.529411764705892
2001-03-01,176.1,2.9824561403508643
2001-04-01,176.4,3.2182562902282053
2001-05-01,177.3,3.5630841121495394
2001-06-01,177.7,3.193960511033689
2001-07-01,177.4,2.7214823393167498
2001-08-01,177.4,2.7214823393167498
2001-09-01,178.1,2.5921658986175045
2001-10-01,177.6,2.127659574468077
2001-11-01,177.5,1.894374282433997
2001-12-01,177.4,1.603665521191311
2002-01-01,177.7,1.1958997722095743
2002-02-01,178.0,1.1363636363636465
2002-03-01,178.5,1.3628620102214661
2002-04-01,179.3,1.643990929705219
2002-05-01,179.5,1.2408347433727984
2002-06-01,179.6,1.0692177827799743
2002-07-01,180.0,1.465614430665152
2002-08-01,180.5,1.747463359639223
2002-09-01,180.8,1.516002245929271
2002-10-01,181.2,2.0270270270270174
2002-11-01,181.5,2.2535211267605604
2002-12-01,181.8,2.4802705749718212
2003-01-01,182.6,2.757456387169399
2003-02-01,183.6,3.146067415730336
2003-03-01,183.9,3.025210084033625
2003-04-01,183.2,2.175125488008911
2003-05-01,182.9,1.8941504178273005
2003-06-01,183.1,1.948775055679297
2003-07-01,183.7,2.055555555555544
2003-08-01,184.5,2.216066481994461
2003-09-01,185.1,2.378318584070782
2003-10-01,184.9,2.041942604856528
2003-11-01,185.0,1.9283746556473913
2003-12-01,185.5,2.0352035203520247
2004-01-01,186.3,2.026286966046009
2004-02-01,186.7,1.688453159041381
2004-03-01,187.1,1.7400761283306032
2004-04-01,187.4,2.2925764192139875
2004-05-01,188.2,2.8977583378895444
2004-06-01,188.9,3.1676679410158393
2004-07-01,189.1,2.939575394665228
2004-08-01,189.2,2.5474254742547275
2004-09-01,189.8,2.5391680172879516
2004-10-01,190.8,3.1909140075716547
2004-11-01,191.7,3.621621621621607
2004-12-01,191.7,3.3423180592991875
2005-01-01,191.6,2.8448738593666034
2005-02-01,192.4,3.0530262453133394
2005-03-01,193.1,3.2068412613575736
2005-04-01,193.7,3.3617929562433257
2005-05-01,193.6,2.869287991498415
2005-06-01,193.7,2.541026998411855
2005-07-01,194.9,3.067160232681121
2005-08-01,196.1,3.6469344608879517
2005-09-01,198.8,4.741833508956805
2005-10-01,199.1,4.350104821802936
2005-11-01,198.1,3.3385498174230532
2005-12-01,198.1,3.3385498174230532
2006-01-01,199.3,4.018789144050117
2006-02-01,199.4,3.63825363825363
2006-03-01,199.7,3.4179181771103018
2006-04-01,200.7,3.613835828600931
2006-05-01,201.3,3.9772727272727293
2006-06-01,201.8,4.1817243159525175
2006-07-01,202.9,4.104669061056954
2006-08-01,203.8,3.926568077511483
2006-09-01,202.8,2.012072434607637
2006-10-01,201.9,1.4063284781516971
2006-11-01,202.0,1.9687026754164672
2006-12-01,203.1,2.5239777889954462
2007-01-01,203.437,2.075765178123423
2007-02-01,204.226,2.420260782347028
2007-03-01,205.288,2.798197295943927
2007-04-01,205.904,2.5929247633283525
